candidate,cargo_type,context,query_type,query,count
miR-21,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-21"" OR ""microRNA-21"")",25
miR-21,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-21"" OR ""microRNA-21"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",18
miR-21,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-21"" OR ""microRNA-21"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",14
miR-21,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-21"" OR ""microRNA-21"")",127
miR-21,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-21"" OR ""microRNA-21"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",96
miR-21,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-21"" OR ""microRNA-21"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",69
miR-21,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-21"" OR ""microRNA-21"")",23
miR-21,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-21"" OR ""microRNA-21"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",10
miR-21,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-21"" OR ""microRNA-21"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",21
miR-29,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-29"" OR ""microRNA-29"")",3
miR-29,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-29"" OR ""microRNA-29"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",3
miR-29,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-29"" OR ""microRNA-29"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",3
miR-29,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-29"" OR ""microRNA-29"")",6
miR-29,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-29"" OR ""microRNA-29"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",3
miR-29,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-29"" OR ""microRNA-29"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",6
miR-29,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-29"" OR ""microRNA-29"")",3
miR-29,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-29"" OR ""microRNA-29"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",1
miR-29,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-29"" OR ""microRNA-29"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",2
miR-30d,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-30d"" OR ""microRNA-30d"")",0
miR-30d,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-30d"" OR ""microRNA-30d"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
miR-30d,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-30d"" OR ""microRNA-30d"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
miR-30d,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-30d"" OR ""microRNA-30d"")",2
miR-30d,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-30d"" OR ""microRNA-30d"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",2
miR-30d,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-30d"" OR ""microRNA-30d"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
miR-30d,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-30d"" OR ""microRNA-30d"")",4
miR-30d,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-30d"" OR ""microRNA-30d"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",3
miR-30d,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-30d"" OR ""microRNA-30d"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",4
miR-105,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-105"" OR ""microRNA-105"")",0
miR-105,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-105"" OR ""microRNA-105"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
miR-105,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-105"" OR ""microRNA-105"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
miR-105,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-105"" OR ""microRNA-105"")",3
miR-105,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-105"" OR ""microRNA-105"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",1
miR-105,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-105"" OR ""microRNA-105"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
miR-105,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-105"" OR ""microRNA-105"")",0
miR-105,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-105"" OR ""microRNA-105"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
miR-105,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-105"" OR ""microRNA-105"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
miR-122,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-122"" OR ""microRNA-122"")",5
miR-122,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-122"" OR ""microRNA-122"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",5
miR-122,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-122"" OR ""microRNA-122"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",3
miR-122,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-122"" OR ""microRNA-122"")",21
miR-122,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-122"" OR ""microRNA-122"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",17
miR-122,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-122"" OR ""microRNA-122"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",17
miR-122,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-122"" OR ""microRNA-122"")",1
miR-122,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-122"" OR ""microRNA-122"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",1
miR-122,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-122"" OR ""microRNA-122"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
miR-124-3p,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-124"" OR ""microRNA-124"")",25
miR-124-3p,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-124"" OR ""microRNA-124"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",17
miR-124-3p,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-124"" OR ""microRNA-124"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",23
miR-124-3p,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-124"" OR ""microRNA-124"")",9
miR-124-3p,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-124"" OR ""microRNA-124"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",4
miR-124-3p,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-124"" OR ""microRNA-124"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",5
miR-124-3p,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-124"" OR ""microRNA-124"")",0
miR-124-3p,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-124"" OR ""microRNA-124"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
miR-124-3p,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-124"" OR ""microRNA-124"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
miR-126,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-126"" OR ""microRNA-126"")",12
miR-126,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-126"" OR ""microRNA-126"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",8
miR-126,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-126"" OR ""microRNA-126"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",4
miR-126,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-126"" OR ""microRNA-126"")",17
miR-126,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-126"" OR ""microRNA-126"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",16
miR-126,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-126"" OR ""microRNA-126"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",9
miR-126,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-126"" OR ""microRNA-126"")",14
miR-126,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-126"" OR ""microRNA-126"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",7
miR-126,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-126"" OR ""microRNA-126"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",8
miR-133a-3p,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-133a"" OR ""microRNA-133a"")",2
miR-133a-3p,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-133a"" OR ""microRNA-133a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",2
miR-133a-3p,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-133a"" OR ""microRNA-133a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
miR-133a-3p,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-133a"" OR ""microRNA-133a"")",6
miR-133a-3p,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-133a"" OR ""microRNA-133a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",5
