candidate,cargo_type,context,query_type,query,count
miR-133a-3p,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-133a"" OR ""microRNA-133a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",5
miR-133a-3p,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-133a"" OR ""microRNA-133a"")",6
miR-133a-3p,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-133a"" OR ""microRNA-133a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",4
miR-133a-3p,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-133a"" OR ""microRNA-133a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",4
miR-143-3p,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-143"" OR ""microRNA-143"")",1
miR-143-3p,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-143"" OR ""microRNA-143"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",1
miR-143-3p,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-143"" OR ""microRNA-143"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
miR-143-3p,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-143"" OR ""microRNA-143"")",13
miR-143-3p,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-143"" OR ""microRNA-143"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",9
miR-143-3p,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-143"" OR ""microRNA-143"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",8
miR-143-3p,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-143"" OR ""microRNA-143"")",3
miR-143-3p,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-143"" OR ""microRNA-143"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",2
miR-143-3p,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-143"" OR ""microRNA-143"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",2
miR-181a-5p,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-181a"" OR ""microRNA-181a"")",7
miR-181a-5p,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-181a"" OR ""microRNA-181a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",5
miR-181a-5p,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-181a"" OR ""microRNA-181a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",4
miR-181a-5p,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-181a"" OR ""microRNA-181a"")",14
miR-181a-5p,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-181a"" OR ""microRNA-181a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",10
miR-181a-5p,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-181a"" OR ""microRNA-181a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",8
miR-181a-5p,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-181a"" OR ""microRNA-181a"")",2
miR-181a-5p,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-181a"" OR ""microRNA-181a"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",2
miR-181a-5p,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-181a"" OR ""microRNA-181a"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
miR-210-3p,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-210"" OR ""microRNA-210"")",6
miR-210-3p,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-210"" OR ""microRNA-210"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",3
miR-210-3p,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-210"" OR ""microRNA-210"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",5
miR-210-3p,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-210"" OR ""microRNA-210"")",29
miR-210-3p,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-210"" OR ""microRNA-210"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",17
miR-210-3p,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-210"" OR ""microRNA-210"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",15
miR-210-3p,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-210"" OR ""microRNA-210"")",11
miR-210-3p,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-210"" OR ""microRNA-210"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",3
miR-210-3p,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-210"" OR ""microRNA-210"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",7
miR-934,RNA,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-934"" OR ""microRNA-934"")",0
miR-934,RNA,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-934"" OR ""microRNA-934"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
miR-934,RNA,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""miR-934"" OR ""microRNA-934"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
miR-934,RNA,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-934"" OR ""microRNA-934"")",3
miR-934,RNA,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-934"" OR ""microRNA-934"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",1
miR-934,RNA,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""miR-934"" OR ""microRNA-934"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
miR-934,RNA,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-934"" OR ""microRNA-934"")",0
miR-934,RNA,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-934"" OR ""microRNA-934"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
miR-934,RNA,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""miR-934"" OR ""microRNA-934"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
ITGA6,Protein,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (ITGA6 OR ""integrin alpha 6"")",1
ITGA6,Protein,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (ITGA6 OR ""integrin alpha 6"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",1
ITGA6,Protein,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (ITGA6 OR ""integrin alpha 6"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
ITGA6,Protein,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (ITGA6 OR ""integrin alpha 6"")",9
ITGA6,Protein,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (ITGA6 OR ""integrin alpha 6"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",5
ITGA6,Protein,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (ITGA6 OR ""integrin alpha 6"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",5
ITGA6,Protein,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (ITGA6 OR ""integrin alpha 6"")",0
ITGA6,Protein,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (ITGA6 OR ""integrin alpha 6"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
ITGA6,Protein,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (ITGA6 OR ""integrin alpha 6"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
ITGB4,Protein,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (ITGB4 OR ""integrin beta 4"")",1
ITGB4,Protein,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (ITGB4 OR ""integrin beta 4"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
ITGB4,Protein,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (ITGB4 OR ""integrin beta 4"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",1
ITGB4,Protein,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (ITGB4 OR ""integrin beta 4"")",3
ITGB4,Protein,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (ITGB4 OR ""integrin beta 4"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",3
ITGB4,Protein,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (ITGB4 OR ""integrin beta 4"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",3
ITGB4,Protein,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (ITGB4 OR ""integrin beta 4"")",0
ITGB4,Protein,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (ITGB4 OR ""integrin beta 4"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
ITGB4,Protein,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (ITGB4 OR ""integrin beta 4"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
ITGB2,Protein,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (ITGB2 OR ""integrin beta 2"")",0
ITGB2,Protein,neurodegeneration,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (ITGB2 OR ""integrin beta 2"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
ITGB2,Protein,neurodegeneration,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (ITGB2 OR ""integrin beta 2"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
ITGB2,Protein,tumor_metastasis,base,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (ITGB2 OR ""integrin beta 2"")",4
ITGB2,Protein,tumor_metastasis,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (ITGB2 OR ""integrin beta 2"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",4
ITGB2,Protein,tumor_metastasis,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (ITGB2 OR ""integrin beta 2"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",3
ITGB2,Protein,cardiac_repair,base,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (ITGB2 OR ""integrin beta 2"")",0
ITGB2,Protein,cardiac_repair,biomarker,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (ITGB2 OR ""integrin beta 2"") AND (biomarker OR diagnostic OR prognostic OR plasma OR serum OR blood)",0
ITGB2,Protein,cardiac_repair,mechanistic,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (ITGB2 OR ""integrin beta 2"") AND (knockdown OR overexpression OR inhibitor OR mediates OR transfer OR delivery OR caus*)",0
GPR143,Protein,neurodegeneration,base,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (GPR143)",0
