cargo_type,candidate,pathway,scheme,score,rank
Protein,CD63,Autophagy,baseline,91.935196,1
Protein,CD81,Autophagy,baseline,87.15393,2
Protein,AKT1,mTOR,baseline,86.544399,3
Protein,CTNNB1,Wnt,baseline,86.213687,4
RNA,miR-21,TGF-beta,baseline,85.028894,5
Protein,PDCD6IP,Autophagy,baseline,84.756827,6
Protein,TSG101,Autophagy,baseline,84.542551,7
Protein,CAV1,Integrin/Src,baseline,82.8156,8
Protein,MTOR,mTOR,baseline,81.444324,9
Protein,TGFB1,TGF-beta,baseline,77.183746,10
Protein,NFKB1,NF-kB,baseline,76.891777,11
RNA,miR-143-3p,Autophagy,baseline,75.641349,12
RNA,miR-133a-3p,TGF-beta,baseline,74.882153,13
Protein,C3,Complement,baseline,74.605702,14
RNA,miR-126,Wnt,baseline,74.530233,15
RNA,miR-124-3p,mTOR,baseline,74.318254,16
RNA,miR-210-3p,Hypoxia/HIF-1,baseline,74.301075,17
RNA,miR-122,Integrin/Src,baseline,73.694785,18
RNA,miR-181a-5p,Autophagy,baseline,72.611951,19
Protein,HIF1A,Hypoxia/HIF-1,baseline,71.107604,20
RNA,miR-30d,Integrin/Src,baseline,67.450696,21
Protein,ITGA6,Integrin/Src,baseline,66.721091,22
Protein,C5,Complement,baseline,65.484777,23
Protein,TGFBR2,TGF-beta,baseline,64.323039,24
Protein,WNT5A,Wnt,baseline,63.906417,25
Protein,ITGB4,Integrin/Src,baseline,62.247948,26
Protein,ITGB2,Integrin/Src,baseline,55.759428,27
Protein,GPR143,Integrin/Src,baseline,52.548082,28
RNA,miR-105,Integrin/Src,baseline,51.134431,29
RNA,miR-29,TGF-beta,baseline,50.771776,30
RNA,miR-934,mTOR,baseline,48.46767,31
Protein,CD63,Autophagy,equal,89.690848,1
Protein,AKT1,mTOR,equal,85.963507,2
Protein,CD81,Autophagy,equal,84.048066,3
Protein,CTNNB1,Wnt,equal,83.616916,4
RNA,miR-21,TGF-beta,equal,82.963096,5
Protein,PDCD6IP,Autophagy,equal,80.135675,6
Protein,TSG101,Autophagy,equal,79.667971,7
Protein,CAV1,Integrin/Src,equal,79.038838,8
Protein,MTOR,mTOR,equal,78.496609,9
Protein,NFKB1,NF-kB,equal,73.352607,10
Protein,TGFB1,TGF-beta,equal,73.310807,11
RNA,miR-124-3p,mTOR,equal,72.546616,12
RNA,miR-143-3p,Autophagy,equal,71.586798,13
RNA,miR-133a-3p,TGF-beta,equal,70.796927,14
RNA,miR-126,Wnt,equal,70.13727,15
RNA,miR-210-3p,Hypoxia/HIF-1,equal,69.501641,16
RNA,miR-122,Integrin/Src,equal,68.812938,17
Protein,C3,Complement,equal,68.346156,18
RNA,miR-181a-5p,Autophagy,equal,66.908978,19
Protein,HIF1A,Hypoxia/HIF-1,equal,66.27333,20
RNA,miR-30d,Integrin/Src,equal,62.759341,21
Protein,ITGA6,Integrin/Src,equal,59.457338,22
Protein,TGFBR2,TGF-beta,equal,58.870739,23
Protein,WNT5A,Wnt,equal,58.231134,24
Protein,C5,Complement,equal,57.228445,25
Protein,ITGB4,Integrin/Src,equal,54.318622,26
Protein,ITGB2,Integrin/Src,equal,49.448165,27
RNA,miR-29,TGF-beta,equal,47.457567,28
Protein,GPR143,Integrin/Src,equal,45.238465,29
RNA,miR-105,Integrin/Src,equal,43.07345,30
RNA,miR-934,mTOR,equal,40.940041,31
Protein,CD63,Autophagy,exocarta_heavy,92.101666,1
Protein,CD81,Autophagy,exocarta_heavy,87.073322,2
Protein,PDCD6IP,Autophagy,exocarta_heavy,85.12971,3
Protein,CTNNB1,Wnt,exocarta_heavy,85.035634,4
Protein,TSG101,Autophagy,exocarta_heavy,85.015722,5
Protein,AKT1,mTOR,exocarta_heavy,83.586162,6
RNA,miR-21,TGF-beta,exocarta_heavy,83.408906,7
Protein,CAV1,Integrin/Src,exocarta_heavy,82.170447,8
Protein,MTOR,mTOR,exocarta_heavy,79.23904,9
Protein,TGFB1,TGF-beta,exocarta_heavy,74.918064,10
Protein,NFKB1,NF-kB,exocarta_heavy,74.198129,11
Protein,C3,Complement,exocarta_heavy,73.920056,12
RNA,miR-143-3p,Autophagy,exocarta_heavy,73.888177,13
RNA,miR-133a-3p,TGF-beta,exocarta_heavy,73.115833,14
RNA,miR-124-3p,mTOR,exocarta_heavy,72.684208,15
RNA,miR-126,Wnt,exocarta_heavy,72.482867,16
RNA,miR-210-3p,Hypoxia/HIF-1,exocarta_heavy,72.144856,17
RNA,miR-122,Integrin/Src,exocarta_heavy,72.101317,18
RNA,miR-181a-5p,Autophagy,exocarta_heavy,71.284497,19
Protein,HIF1A,Hypoxia/HIF-1,exocarta_heavy,67.963577,20
Protein,ITGA6,Integrin/Src,exocarta_heavy,67.677048,21
RNA,miR-30d,Integrin/Src,exocarta_heavy,67.082718,22
Protein,C5,Complement,exocarta_heavy,65.049724,23
Protein,TGFBR2,TGF-beta,exocarta_heavy,63.539858,24
Protein,ITGB4,Integrin/Src,exocarta_heavy,63.046428,25
Protein,WNT5A,Wnt,exocarta_heavy,63.002403,26
Protein,ITGB2,Integrin/Src,exocarta_heavy,56.434236,27
Protein,GPR143,Integrin/Src,exocarta_heavy,52.794075,28
RNA,miR-105,Integrin/Src,exocarta_heavy,51.375845,29
RNA,miR-934,mTOR,exocarta_heavy,47.642379,30
RNA,miR-29,TGF-beta,exocarta_heavy,42.194653,31
Protein,CD63,Autophagy,breadth_heavy,91.602255,1
Protein,AKT1,mTOR,breadth_heavy,88.023517,2
Protein,CD81,Autophagy,breadth_heavy,86.543374,3
Protein,CTNNB1,Wnt,breadth_heavy,86.320293,4
RNA,miR-21,TGF-beta,breadth_heavy,85.345821,5
Protein,PDCD6IP,Autophagy,breadth_heavy,83.588488,6
Protein,TSG101,Autophagy,breadth_heavy,83.283932,7
Protein,MTOR,mTOR,breadth_heavy,81.896105,8
Protein,CAV1,Integrin/Src,breadth_heavy,81.627721,9
Protein,TGFB1,TGF-beta,breadth_heavy,77.277755,10
Protein,NFKB1,NF-kB,breadth_heavy,77.264431,11
RNA,miR-143-3p,Autophagy,breadth_heavy,74.588605,12
RNA,miR-126,Wnt,breadth_heavy,74.18761,13
RNA,miR-210-3p,Hypoxia/HIF-1,breadth_heavy,74.054427,14
RNA,miR-133a-3p,TGF-beta,breadth_heavy,73.721138,15
Protein,C3,Complement,breadth_heavy,73.250828,16
RNA,miR-122,Integrin/Src,breadth_heavy,72.840504,17
RNA,miR-124-3p,mTOR,breadth_heavy,72.374822,18
RNA,miR-181a-5p,Autophagy,breadth_heavy,71.527561,19
Protein,HIF1A,Hypoxia/HIF-1,breadth_heavy,71.298831,20
RNA,miR-30d,Integrin/Src,breadth_heavy,63.860431,21
Protein,C5,Complement,breadth_heavy,62.966102,22
Protein,ITGA6,Integrin/Src,breadth_heavy,62.753568,23
Protein,TGFBR2,TGF-beta,breadth_heavy,61.330313,24
Protein,WNT5A,Wnt,breadth_heavy,61.020789,25
Protein,ITGB4,Integrin/Src,breadth_heavy,57.862507,26
RNA,miR-29,TGF-beta,breadth_heavy,52.926021,27
Protein,ITGB2,Integrin/Src,breadth_heavy,50.185823,28
Protein,GPR143,Integrin/Src,breadth_heavy,46.611704,29
RNA,miR-105,Integrin/Src,breadth_heavy,45.636963,30
RNA,miR-934,mTOR,breadth_heavy,43.503554,31
Protein,CD63,Autophagy,mechanistic_heavy,84.869213,1
Protein,AKT1,mTOR,mechanistic_heavy,82.023517,2
Protein,CAV1,Integrin/Src,mechanistic_heavy,81.034458,3
Protein,CTNNB1,Wnt,mechanistic_heavy,80.143843,4
Protein,CD81,Autophagy,mechanistic_heavy,79.455276,5
RNA,miR-21,TGF-beta,mechanistic_heavy,78.701543,6
Protein,PDCD6IP,Autophagy,mechanistic_heavy,76.778366,7
Protein,TSG101,Autophagy,mechanistic_heavy,76.522722,8
Protein,MTOR,mTOR,mechanistic_heavy,75.567416,9
RNA,miR-124-3p,mTOR,mechanistic_heavy,74.227876,10
RNA,miR-143-3p,Autophagy,mechanistic_heavy,73.244353,11
RNA,miR-133a-3p,TGF-beta,mechanistic_heavy,72.606578,12
Protein,NFKB1,NF-kB,mechanistic_heavy,70.748124,13
Protein,TGFB1,TGF-beta,mechanistic_heavy,70.485501,14
RNA,miR-210-3p,Hypoxia/HIF-1,mechanistic_heavy,66.980519,15
RNA,miR-126,Wnt,mechanistic_heavy,66.814916,16
Protein,C3,Complement,mechanistic_heavy,66.308767,17
RNA,miR-122,Integrin/Src,mechanistic_heavy,66.037229,18
RNA,miR-30d,Integrin/Src,mechanistic_heavy,65.246207,19
Protein,HIF1A,Hypoxia/HIF-1,mechanistic_heavy,64.548429,20
RNA,miR-181a-5p,Autophagy,mechanistic_heavy,64.202765,21
Protein,ITGA6,Integrin/Src,mechanistic_heavy,57.814024,22
Protein,TGFBR2,TGF-beta,mechanistic_heavy,56.745109,23
Protein,WNT5A,Wnt,mechanistic_heavy,56.175384,24
Protein,C5,Complement,mechanistic_heavy,55.633714,25
Protein,ITGB4,Integrin/Src,mechanistic_heavy,53.383469,26
Protein,GPR143,Integrin/Src,mechanistic_heavy,49.238465,27
Protein,ITGB2,Integrin/Src,mechanistic_heavy,47.853435,28
RNA,miR-29,TGF-beta,mechanistic_heavy,46.129525,29
RNA,miR-105,Integrin/Src,mechanistic_heavy,42.48809,30
RNA,miR-934,mTOR,mechanistic_heavy,40.354681,31
Protein,CD63,Autophagy,biomarker_heavy,92.101666,1
Protein,AKT1,mTOR,biomarker_heavy,87.933501,2
Protein,CD81,Autophagy,biomarker_heavy,86.344461,3
Protein,CTNNB1,Wnt,biomarker_heavy,85.353453,4
RNA,miR-21,TGF-beta,biomarker_heavy,85.093872,5
Protein,PDCD6IP,Autophagy,biomarker_heavy,81.81433,6
Protein,TSG101,Autophagy,biomarker_heavy,81.240596,7
Protein,MTOR,mTOR,biomarker_heavy,79.961206,8
Protein,CAV1,Integrin/Src,biomarker_heavy,78.041028,9
Protein,TGFB1,TGF-beta,biomarker_heavy,74.723461,10
Protein,NFKB1,NF-kB,biomarker_heavy,74.654848,11
RNA,miR-126,Wnt,biomarker_heavy,71.798447,12
RNA,miR-124-3p,mTOR,biomarker_heavy,71.705986,13
RNA,miR-210-3p,Hypoxia/HIF-1,biomarker_heavy,70.762202,14
RNA,miR-143-3p,Autophagy,biomarker_heavy,70.75802,15
RNA,miR-122,Integrin/Src,biomarker_heavy,70.200793,16
RNA,miR-133a-3p,TGF-beta,biomarker_heavy,69.892102,17
Protein,C3,Complement,biomarker_heavy,69.36485,18
RNA,miR-181a-5p,Autophagy,biomarker_heavy,68.262085,19
Protein,HIF1A,Hypoxia/HIF-1,biomarker_heavy,67.135781,20
RNA,miR-30d,Integrin/Src,biomarker_heavy,61.515908,21
Protein,ITGA6,Integrin/Src,biomarker_heavy,60.278995,22
Protein,TGFBR2,TGF-beta,biomarker_heavy,59.933554,23
Protein,WNT5A,Wnt,biomarker_heavy,59.259009,24
Protein,C5,Complement,biomarker_heavy,58.02581,25
Protein,ITGB4,Integrin/Src,biomarker_heavy,54.786199,26
Protein,ITGB2,Integrin/Src,biomarker_heavy,50.245531,27
RNA,miR-29,TGF-beta,biomarker_heavy,48.121588,28
RNA,miR-105,Integrin/Src,biomarker_heavy,43.36613,29
Protein,GPR143,Integrin/Src,biomarker_heavy,43.238465,30
RNA,miR-934,mTOR,biomarker_heavy,41.232721,31
