pathway,context,count,ev_clause_label,ev_clause,query
mTOR,neurodegeneration,87,current_baseline,(extracellular vesicle OR exosome OR exosomes),
mTOR,tumor_metastasis,301,current_baseline,(extracellular vesicle OR exosome OR exosomes),
mTOR,cardiac_repair,66,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Wnt,neurodegeneration,37,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Wnt,tumor_metastasis,201,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Wnt,cardiac_repair,20,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Notch,neurodegeneration,12,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Notch,tumor_metastasis,59,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Notch,cardiac_repair,9,current_baseline,(extracellular vesicle OR exosome OR exosomes),
NF-kB,neurodegeneration,23,current_baseline,(extracellular vesicle OR exosome OR exosomes),
NF-kB,tumor_metastasis,65,current_baseline,(extracellular vesicle OR exosome OR exosomes),
NF-kB,cardiac_repair,13,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Complement,neurodegeneration,71,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Complement,tumor_metastasis,58,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Complement,cardiac_repair,17,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Sphingolipid/Ceramide,neurodegeneration,90,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Sphingolipid/Ceramide,tumor_metastasis,39,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Sphingolipid/Ceramide,cardiac_repair,13,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Autophagy,neurodegeneration,428,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Autophagy,tumor_metastasis,220,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Autophagy,cardiac_repair,50,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Hypoxia/HIF-1,neurodegeneration,60,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Hypoxia/HIF-1,tumor_metastasis,278,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Hypoxia/HIF-1,cardiac_repair,133,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Integrin/Src,neurodegeneration,31,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Integrin/Src,tumor_metastasis,255,current_baseline,(extracellular vesicle OR exosome OR exosomes),
Integrin/Src,cardiac_repair,6,current_baseline,(extracellular vesicle OR exosome OR exosomes),
TGF-beta,neurodegeneration,17,current_baseline,(extracellular vesicle OR exosome OR exosomes),
TGF-beta,tumor_metastasis,143,current_baseline,(extracellular vesicle OR exosome OR exosomes),
TGF-beta,cardiac_repair,12,current_baseline,(extracellular vesicle OR exosome OR exosomes),
mTOR,neurodegeneration,57,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (mTOR OR PI3K OR AKT)"
Wnt,neurodegeneration,22,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (Wnt OR beta-catenin OR CTNNB1)"
Notch,neurodegeneration,6,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (Notch OR NOTCH1)"
NF-kB,neurodegeneration,11,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
Complement,neurodegeneration,44,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (complement OR C3 OR C5)"
Sphingolipid/Ceramide,neurodegeneration,59,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)"
Autophagy,neurodegeneration,270,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (autophagy OR mitophagy OR lysosome)"
Hypoxia/HIF-1,neurodegeneration,36,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (hypoxia OR HIF-1 OR HIF1A)"
Integrin/Src,neurodegeneration,13,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (integrin OR SRC)"
TGF-beta,neurodegeneration,11,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""TGF-beta"" OR TGFB1)"
mTOR,tumor_metastasis,221,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (mTOR OR PI3K OR AKT)
Wnt,tumor_metastasis,166,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (Wnt OR beta-catenin OR CTNNB1)
Notch,tumor_metastasis,47,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (Notch OR NOTCH1)
NF-kB,tumor_metastasis,43,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
Complement,tumor_metastasis,33,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (complement OR C3 OR C5)
Sphingolipid/Ceramide,tumor_metastasis,27,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)
Autophagy,tumor_metastasis,147,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (autophagy OR mitophagy OR lysosome)
Hypoxia/HIF-1,tumor_metastasis,219,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (hypoxia OR HIF-1 OR HIF1A)
Integrin/Src,tumor_metastasis,148,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (integrin OR SRC)
TGF-beta,tumor_metastasis,99,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""TGF-beta"" OR TGFB1)"
mTOR,cardiac_repair,48,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (mTOR OR PI3K OR AKT)
Wnt,cardiac_repair,14,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Wnt OR beta-catenin OR CTNNB1)
Notch,cardiac_repair,5,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Notch OR NOTCH1)
NF-kB,cardiac_repair,10,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
Complement,cardiac_repair,10,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (complement OR C3 OR C5)
Sphingolipid/Ceramide,cardiac_repair,12,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)
Autophagy,cardiac_repair,34,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (autophagy OR mitophagy OR lysosome)
Hypoxia/HIF-1,cardiac_repair,91,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (hypoxia OR HIF-1 OR HIF1A)
Integrin/Src,cardiac_repair,3,legacy_exosome,(exosome OR exosomes),(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (integrin OR SRC)
TGF-beta,cardiac_repair,11,legacy_exosome,(exosome OR exosomes),"(exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""TGF-beta"" OR TGFB1)"
mTOR,neurodegeneration,36,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (mTOR OR PI3K OR AKT)"
Wnt,neurodegeneration,20,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (Wnt OR beta-catenin OR CTNNB1)"
Notch,neurodegeneration,6,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (Notch OR NOTCH1)"
NF-kB,neurodegeneration,13,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
Complement,neurodegeneration,37,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (complement OR C3 OR C5)"
Sphingolipid/Ceramide,neurodegeneration,53,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)"
Autophagy,neurodegeneration,191,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (autophagy OR mitophagy OR lysosome)"
Hypoxia/HIF-1,neurodegeneration,27,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (hypoxia OR HIF-1 OR HIF1A)"
Integrin/Src,neurodegeneration,18,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (integrin OR SRC)"
TGF-beta,neurodegeneration,10,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""TGF-beta"" OR TGFB1)"
mTOR,tumor_metastasis,96,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (mTOR OR PI3K OR AKT)"
Wnt,tumor_metastasis,61,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (Wnt OR beta-catenin OR CTNNB1)"
Notch,tumor_metastasis,15,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (Notch OR NOTCH1)"
NF-kB,tumor_metastasis,27,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
Complement,tumor_metastasis,31,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (complement OR C3 OR C5)"
Sphingolipid/Ceramide,tumor_metastasis,24,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)"
Autophagy,tumor_metastasis,98,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (autophagy OR mitophagy OR lysosome)"
Hypoxia/HIF-1,tumor_metastasis,104,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (hypoxia OR HIF-1 OR HIF1A)"
Integrin/Src,tumor_metastasis,136,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (integrin OR SRC)"
TGF-beta,tumor_metastasis,61,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""TGF-beta"" OR TGFB1)"
mTOR,cardiac_repair,21,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (mTOR OR PI3K OR AKT)"
Wnt,cardiac_repair,6,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Wnt OR beta-catenin OR CTNNB1)"
Notch,cardiac_repair,4,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Notch OR NOTCH1)"
